a,gamma
66.7077,0.3418348895800746
84.21046,0.29556953334867603
86.64211,0.3302354874017122
87.11842,0.2539517289629319
87.46815,0.5910185977173708
88.30209,0.29526863815759496
88.48832,0.2730816900550517
94.66512,0.7791854606413097
100.1055,0.8293187167696687
107.8865,0.3232421175528888
115.4174,0.4955787465377635
136.5293,0.8043993824813582
137.6373,0.25018357294525384
140.9165,0.44535143033700236
153.3607,1.4617579878146325
154.7904,0.8002557486359708
154.9427,0.6598196243978522
168.164,0.35080788777657723
179.7128,0.8229646365654757
189.2008,0.8809623406044681
202.6637,1.1545094096765476
233.0891,0.8854449234211493
233.1708,1.369923611009426
281.0076,1.3327792398975793
299.9895,1.3974276911340442
333.1103,1.051279000075755
439.7684,1.0985336159632486
460.6487,1.3783876312312433
526.759,1.4669337178118733
607.4575,1.3783876312312433
